   filename        accent    study   set   speaker  gender
G00473S1202.wav   American   adapt   dev   G00473   Female
G00473S1204.wav   American   adapt   dev   G00473   Female
G00473S1205.wav   American   adapt   dev   G00473   Female
G00473S1206.wav   American   adapt   dev   G00473   Female
G00473S1208.wav   American   adapt   dev   G00473   Female
G00473S1209.wav   American   adapt   dev   G00473   Female
G00473S1210.wav   American   adapt   dev   G00473   Female
G00473S1213.wav   American   adapt   dev   G00473   Female
G00473S1214.wav   American   adapt   dev   G00473   Female
G00473S1216.wav   American   adapt   dev   G00473   Female
G00473S1217.wav   American   adapt   dev   G00473   Female
G00473S1218.wav   American   adapt   dev   G00473   Female
G00473S1219.wav   American   adapt   dev   G00473   Female
G00473S1220.wav   American   adapt   dev   G00473   Female
G00473S1221.wav   American   adapt   dev   G00473   Female
G00473S1222.wav   American   adapt   dev   G00473   Female
G00473S1223.wav   American   adapt   dev   G00473   Female
G00473S1225.wav   American   adapt   dev   G00473   Female
G00473S1228.wav   American   adapt   dev   G00473   Female
G00473S1231.wav   American   adapt   dev   G00473   Female
G00473S1232.wav   American   adapt   dev   G00473   Female
G00473S1233.wav   American   adapt   dev   G00473   Female
G00473S1234.wav   American   adapt   dev   G00473   Female
G00473S1235.wav   American   adapt   dev   G00473   Female
G00473S1236.wav   American   adapt   dev   G00473   Female
G01405S1189.wav   American   adapt   dev   G01405   Male
G01405S1190.wav   American   adapt   dev   G01405   Male
G01405S1192.wav   American   adapt   dev   G01405   Male
G01405S1193.wav   American   adapt   dev   G01405   Male
G01405S1195.wav   American   adapt   dev   G01405   Male
G01405S1198.wav   American   adapt   dev   G01405   Male
G01405S1200.wav   American   adapt   dev   G01405   Male
G01405S1202.wav   American   adapt   dev   G01405   Male
G01405S1203.wav   American   adapt   dev   G01405   Male
G01405S1204.wav   American   adapt   dev   G01405   Male
G01405S1206.wav   American   adapt   dev   G01405   Male
G01405S1207.wav   American   adapt   dev   G01405   Male
G01405S1208.wav   American   adapt   dev   G01405   Male
G01405S1210.wav   American   adapt   dev   G01405   Male
G01405S1211.wav   American   adapt   dev   G01405   Male
G01405S1216.wav   American   adapt   dev   G01405   Male
G01405S1219.wav   American   adapt   dev   G01405   Male
G01405S1220.wav   American   adapt   dev   G01405   Male
G01405S1223.wav   American   adapt   dev   G01405   Male
G01405S1224.wav   American   adapt   dev   G01405   Male
G01405S1228.wav   American   adapt   dev   G01405   Male
G01405S1230.wav   American   adapt   dev   G01405   Male
G01405S1233.wav   American   adapt   dev   G01405   Male
G01405S1234.wav   American   adapt   dev   G01405   Male
G01897S1214.wav   American   adapt   dev   G01897   Female
G01897S1218.wav   American   adapt   dev   G01897   Female
G01897S1219.wav   American   adapt   dev   G01897   Female
G01897S1220.wav   American   adapt   dev   G01897   Female
G01897S1224.wav   American   adapt   dev   G01897   Female
G01897S1225.wav   American   adapt   dev   G01897   Female
G01897S1226.wav   American   adapt   dev   G01897   Female
G01897S1227.wav   American   adapt   dev   G01897   Female
G01897S1228.wav   American   adapt   dev   G01897   Female
G01897S1229.wav   American   adapt   dev   G01897   Female
G01897S1230.wav   American   adapt   dev   G01897   Female
G01897S1232.wav   American   adapt   dev   G01897   Female
G01897S1234.wav   American   adapt   dev   G01897   Female
G01897S1235.wav   American   adapt   dev   G01897   Female
G01897S1239.wav   American   adapt   dev   G01897   Female
G01897S1241.wav   American   adapt   dev   G01897   Female
G01897S1242.wav   American   adapt   dev   G01897   Female
G01897S1244.wav   American   adapt   dev   G01897   Female
G01897S1245.wav   American   adapt   dev   G01897   Female
G01897S1246.wav   American   adapt   dev   G01897   Female
G01897S1247.wav   American   adapt   dev   G01897   Female
G01897S1248.wav   American   adapt   dev   G01897   Female
G01897S1254.wav   American   adapt   dev   G01897   Female
G01897S1257.wav   American   adapt   dev   G01897   Female
G01897S1260.wav   American   adapt   dev   G01897   Female
G01897S2265.wav   American   adapt   dev   G01897   Female
G01897S2267.wav   American   adapt   dev   G01897   Female
G01897S2268.wav   American   adapt   dev   G01897   Female
G01897S2272.wav   American   adapt   dev   G01897   Female
G01897S2275.wav   American   adapt   dev   G01897   Female
G01897S2276.wav   American   adapt   dev   G01897   Female
G10208S1163.wav   American   adapt   dev   G10208   Female
G10208S1164.wav   American   adapt   dev   G10208   Female
G10208S1165.wav   American   adapt   dev   G10208   Female
G10208S1166.wav   American   adapt   dev   G10208   Female
